rank,iso6393,iso6391,glottocode,qid,languageLabel,sitelinks,defaultScript,defaultScriptName,orthographyId,orthographyLabelEn,orthographyScriptCode,orthographyScriptName,orthographyPriority,orthographySource,reviewStatus,seedKind,verificationStatus,languageWikipediaUrl,scriptWikipediaUrl,evidenceSources
1,eng,en,stan1293,Q1860,English,392,Latn,Latin,eng-latn,English (Latin),Latn,Latin,primary,cldr-default,needs-review,script-derived,needs-review,,,
2,deu,de,stan1295,Q188,German,351,Latn,Latin,deu-latn,German (Latin),Latn,Latin,primary,cldr-default,needs-review,script-derived,needs-review,,,
3,spa,es,stan1288,Q1321,Spanish,349,Latn,Latin,spa-latn,Spanish (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
4,fra,fr,stan1290,Q150,French,346,Latn,Latin,fra-latn,French (Latin),Latn,Latin,primary,cldr-default,needs-review,script-derived,needs-review,,,
5,rus,ru,russ1263,Q7737,Russian,318,Cyrl,Cyrillic,rus-cyrl,Russian (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
6,ara,ar,arab1395,Q13955,Arabic,307,Arab,Arabic,ara-arab,Arabic (Arabic),Arab,Arabic,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Arabic,omniglot-langalph|worldswritingsystems|wikidata-p282
6,ara,ar,arab1395,Q13955,Arabic,307,Arab,Arabic,ara-grek,Arabic (Greek),Grek,Greek,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Greek_alphabet,omniglot-langalph|worldswritingsystems
7,lat,la,lati1261,Q397,Latin,300,Latn,Latin,lat-latn,Latin (Latin),Latn,Latin,primary,cldr-default,needs-review,script-derived,needs-review,,,
7,lat,la,lati1261,Q397,Latin,300,Latn,Latin,lat-ogam,Latin (Ogham),Ogam,Ogham,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Ogham,omniglot-langalph|worldswritingsystems
8,ita,it,ital1282,Q652,Italian,298,Latn,Latin,ita-latn,Italian (Latin),Latn,Latin,primary,cldr-default,needs-review,script-derived,needs-review,,,
9,jpn,ja,nucl1643,Q5287,Japanese,293,Jpan,Japanese,jpn-jpan,Japanese (Japanese),Jpan,Japanese,primary,omniglot-langalph,needs-review,script-derived,needs-review,,https://en.wikipedia.org/wiki/Japanese_writing_system,omniglot-langalph
9,jpn,ja,nucl1643,Q5287,Japanese,293,Jpan,Japanese,jpn-hani,Japanese (Chinese characters),Hani,Chinese characters,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Chinese_characters,omniglot-langalph|worldswritingsystems
9,jpn,ja,nucl1643,Q5287,Japanese,293,Jpan,Japanese,jpn-hira,Japanese (Hiragana),Hira,Hiragana,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
9,jpn,ja,nucl1643,Q5287,Japanese,293,Jpan,Japanese,jpn-hrkt,Japanese (Japanese syllabaries),Hrkt,Japanese syllabaries,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
9,jpn,ja,nucl1643,Q5287,Japanese,293,Jpan,Japanese,jpn-kana,Japanese (Katakana),Kana,Katakana,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
10,por,pt,port1283,Q5146,Portuguese,292,Latn,Latin,por-latn,Portuguese (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
11,epo,eo,espe1235,Q143,Esperanto,280,Latn,Latin,epo-latn,Esperanto (Latin),Latn,Latin,primary,cldr-default,needs-review,script-derived,needs-review,,,
