rank,iso6393,iso6391,languageLabel,defaultScript,defaultScriptName,orthographyId,orthographyScriptCode,orthographyScriptName,orthographyPriority,orthographySource,reviewStatus,verificationStatus
1,eng,en,English,Latn,Latin,eng-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
2,deu,de,German,Latn,Latin,deu-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
3,spa,es,Spanish,Latn,Latin,spa-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
4,fra,fr,French,Latn,Latin,fra-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
5,rus,ru,Russian,Cyrl,Cyrillic,rus-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
6,ara,ar,Arabic,Arab,Arabic,ara-arab,Arab,Arabic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
6,ara,ar,Arabic,Arab,Arabic,ara-grek,Grek,Greek,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
7,lat,la,Latin,Latn,Latin,lat-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
7,lat,la,Latin,Latn,Latin,lat-ogam,Ogam,Ogham,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
8,ita,it,Italian,Latn,Latin,ita-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
9,jpn,ja,Japanese,Jpan,Japanese,jpn-jpan,Jpan,Japanese,primary,omniglot-langalph,needs-review,needs-review
9,jpn,ja,Japanese,Jpan,Japanese,jpn-hani,Hani,Chinese characters,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
9,jpn,ja,Japanese,Jpan,Japanese,jpn-hira,Hira,Hiragana,secondary,wikidata-writing-system,needs-review,needs-review
9,jpn,ja,Japanese,Jpan,Japanese,jpn-hrkt,Hrkt,Japanese syllabaries,secondary,wikidata-writing-system,needs-review,needs-review
9,jpn,ja,Japanese,Jpan,Japanese,jpn-kana,Kana,Katakana,secondary,wikidata-writing-system,needs-review,needs-review
10,por,pt,Portuguese,Latn,Latin,por-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
11,epo,eo,Esperanto,Latn,Latin,epo-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
12,fas,fa,Persian,Arab,Arabic,fas-arab,Arab,Arabic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
13,zho,zh,Chinese,Hans,Simplified,zho-hans,Hans,Simplified,primary,cldr-default+wikidata,needs-review,needs-review
13,zho,zh,Chinese,Hans,Simplified,zho-hani,Hani,Han,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
13,zho,zh,Chinese,Hans,Simplified,zho-hant,Hant,Traditional,secondary,wikidata-writing-system,needs-review,needs-review
13,zho,zh,Chinese,Hans,Simplified,zho-phag,Phag,ʼPhags-pa,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
14,heb,he,Hebrew,Hebr,Hebrew,heb-hebr,Hebr,Hebrew,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
14,heb,he,Hebrew,Hebr,Hebrew,heb-grek,Grek,Greek,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
15,nld,nl,Dutch,Latn,Latin,nld-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
16,pol,pl,Polish,Latn,Latin,pol-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
17,swe,sv,Swedish,Latn,Latin,swe-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
18,tur,tr,Turkish,Latn,Latin,tur-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
18,tur,tr,Turkish,Latn,Latin,tur-arab,Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
18,tur,tr,Turkish,Latn,Latin,tur-grek,Grek,Greek,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
19,ukr,uk,Ukrainian,Cyrl,Cyrillic,ukr-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
20,fin,fi,Finnish,Latn,Latin,fin-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
21,kor,ko,Korean,Kore,Korean,kor-kore,Kore,Korean,primary,cldr-default,needs-review,needs-review
21,kor,ko,Korean,Kore,Korean,kor-hang,Hang,Hangul,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
21,kor,ko,Korean,Kore,Korean,kor-hani,Hani,Chinese characters,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
22,san,sa,Sanskrit,Deva,Devanagari,san-deva,Deva,Devanagari,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
22,san,sa,Sanskrit,Deva,Devanagari,san-guru,Guru,Gurmukhi,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
22,san,sa,Sanskrit,Deva,Devanagari,san-knda,Knda,Kannada,secondary,wikidata-writing-system,needs-review,needs-review
22,san,sa,Sanskrit,Deva,Devanagari,san-nand,Nand,Nandinagari,secondary,wikidata-writing-system,needs-review,needs-review
22,san,sa,Sanskrit,Deva,Devanagari,san-phag,Phag,ʼPhags-pa,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
22,san,sa,Sanskrit,Deva,Devanagari,san-shrd,Shrd,Sharada,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
